Unnamed: 0,Year,Rank,Title,Artist,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
13,2012,14,Some Nights,Fun,6t6oULCRS6hnI7rm0h5gwl,67,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,audio_features,6t6oULCRS6hnI7rm0h5gwl,spotify:track:6t6oULCRS6hnI7rm0h5gwl,https://api.spotify.com/v1/tracks/6t6oULCRS6hnI7rm0h5gwl,https://api.spotify.com/v1/audio-analysis/6t6oULCRS6hnI7rm0h5gwl,277040,4
14,2012,15,Wide Awake,Katy Perry,15sc2nZlDsr1I3FWYAQOKT,0,0.511,0.68,5,-5.103,1,0.0359,0.0843,6.73e-06,0.502,0.557,160.04,audio_features,15sc2nZlDsr1I3FWYAQOKT,spotify:track:15sc2nZlDsr1I3FWYAQOKT,https://api.spotify.com/v1/tracks/15sc2nZlDsr1I3FWYAQOKT,https://api.spotify.com/v1/audio-analysis/15sc2nZlDsr1I3FWYAQOKT,220933,4
15,2012,16,Good Feeling,Flo Rida,2LEF1A8DOZ9wRYikWgVlZ8,74,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,audio_features,2LEF1A8DOZ9wRYikWgVlZ8,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,https://api.spotify.com/v1/tracks/2LEF1A8DOZ9wRYikWgVlZ8,https://api.spotify.com/v1/audio-analysis/2LEF1A8DOZ9wRYikWgVlZ8,248133,4
16,2012,17,Whistle,Flo Rida,3bC1ahPIYt1btJzSSEyyrF,74,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,audio_features,3bC1ahPIYt1btJzSSEyyrF,spotify:track:3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/audio-analysis/3bC1ahPIYt1btJzSSEyyrF,224653,4
17,2012,18,One More Night,Maroon 5,4XNrMwGx1SqP01sqkGTDmo,68,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,audio_features,4XNrMwGx1SqP01sqkGTDmo,spotify:track:4XNrMwGx1SqP01sqkGTDmo,https://api.spotify.com/v1/tracks/4XNrMwGx1SqP01sqkGTDmo,https://api.spotify.com/v1/audio-analysis/4XNrMwGx1SqP01sqkGTDmo,219467,4
18,2012,19,Drive By,Train,0KAiuUOrLTIkzkpfpn9jb9,75,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,audio_features,0KAiuUOrLTIkzkpfpn9jb9,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/tracks/0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/audio-analysis/0KAiuUOrLTIkzkpfpn9jb9,195973,4
19,2012,20,The Motto,Drake feat Lil Wayne,0ITQKswDEnWCbaEH8HnfVM,13,0.907,0.934,9,-7.628,1,0.107,8.85e-06,0.959,0.0953,0.247,101.008,audio_features,0ITQKswDEnWCbaEH8HnfVM,spotify:track:0ITQKswDEnWCbaEH8HnfVM,https://api.spotify.com/v1/tracks/0ITQKswDEnWCbaEH8HnfVM,https://api.spotify.com/v1/audio-analysis/0ITQKswDEnWCbaEH8HnfVM,183027,4
20,2012,21,Where Have You Been,Rihanna,5WQQIDU3HRaMyPkob8mpFb,78,0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.221,0.444,127.963,audio_features,5WQQIDU3HRaMyPkob8mpFb,spotify:track:5WQQIDU3HRaMyPkob8mpFb,https://api.spotify.com/v1/tracks/5WQQIDU3HRaMyPkob8mpFb,https://api.spotify.com/v1/audio-analysis/5WQQIDU3HRaMyPkob8mpFb,242680,4
21,2012,22,Everybody Talks,Neon Trees,2iUmqdfGZcHIhS3b9E9EWq,75,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,audio_features,2iUmqdfGZcHIhS3b9E9EWq,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/tracks/2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/audio-analysis/2iUmqdfGZcHIhS3b9E9EWq,177280,4
22,2012,23,Take Care,Drake feat Rihanna,3a27zm9bNKlVbEe68Xo2io,5,0.502,0.178,0,-19.348,0,0.104,0.461,0.88,0.112,0.139,122.06,audio_features,3a27zm9bNKlVbEe68Xo2io,spotify:track:3a27zm9bNKlVbEe68Xo2io,https://api.spotify.com/v1/tracks/3a27zm9bNKlVbEe68Xo2io,https://api.spotify.com/v1/audio-analysis/3a27zm9bNKlVbEe68Xo2io,279827,4
